Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,19.00,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,35.67,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,19.67,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,20.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,27.33,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,28.67,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,13.67,0,0,0,0,0,0,0,0,0,0
9,AgentB wins,19.67,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,16.67,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,18.33,0,0,0,0,0,0,0,0,0,0
2,AgentB wins,19.67,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,15.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,21.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,21.33,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,20.33,0,0,0,0,0,0,0,0,0,0
7,AgentB wins,37.67,0,0,0,0,0,0,0,0,0,0
8,AgentB wins,23.33,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,16.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,29.33,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,20.67,0,0,0,0,0,0,0,0,0,0
2,AgentB wins,24.00,0,0,0,0,0,0,0,0,0,0
3,AgentB wins,20.33,0,0,0,0,0,0,0,0,0,0
4,AgentB wins,25.33,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,39.33,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,23.33,0,0,0,0,0,0,0,0,0,0
7,AgentB wins,17.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.33,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,17.33,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.33,0,0,0,0,0,0,0,0,0,0
1,AgentB wins,20.00,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.67,0,0,0,0,0,0,0,0,0,0
3,AgentB wins,30.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,27.67,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,21.33,0,0,0,0,0,0,0,0,0,0
6,AgentB wins,14.67,0,0,0,0,0,0,0,0,0,0
7,AgentB wins,31.00,0,0,0,0,0,0,0,0,0,0
8,AgentB wins,30.67,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,19.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,15.33,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,15.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,19.67,0,0,0,0,0,0,0,0,0,0
3,AgentB wins,23.67,0,0,0,0,0,0,0,0,0,0
4,timeout draw,60.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,24.33,0,0,0,0,0,0,0,0,0,0
6,AgentB wins,13.67,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,16.00,0,0,0,0,0,0,0,0,0,0
8,AgentB wins,22.33,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,26.67,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,13.67,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,22.33,0,0,0,0,0,0,0,0,0,0
2,AgentB wins,29.33,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,28.33,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,19.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,40.00,0,0,0,0,0,0,0,0,0,0
6,AgentB wins,18.33,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,17.00,0,0,0,0,0,0,0,0,0,0
8,AgentB wins,33.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,17.33,0,0,0,0,0,0,0,0,0,0
10,AgentB wins,26.33,0,0,0,0,0,0,0,0,0,0
1,AgentB wins,21.00,0,0,0,0,0,0,0,0,0,0
2,AgentB wins,21.67,0,0,0,0,0,0,0,0,0,0
3,AgentB wins,41.33,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,33.67,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,19.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,19.67,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,20.67,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,23.00,0,0,0,0,0,0,0,0,0,0
10,AgentB wins,35.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,27.00,0,0,0,0,0,0,0,0,0,0
2,timeout draw,60.00,0,0,0,0,0,0,0,0,0,0
3,AgentB wins,20.67,0,0,0,0,0,0,0,0,0,0
