Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,14.33,6,3,2,5,0,5,0,1,1,2
2,AgentA wins,14.09,6,4,2,5,0,5,0,1,1,4
3,AgentA wins,16.28,7,5,3,5,0,6,0,1,1,5
4,AgentA wins,14.27,6,4,3,5,0,5,0,1,1,4
5,AgentA wins,14.07,6,4,3,5,0,5,0,1,3,2
6,AgentA wins,14.16,6,4,3,5,0,5,0,1,1,4
7,AgentA wins,14.14,6,4,3,5,0,5,0,1,1,4
8,AgentA wins,14.19,6,4,3,5,0,5,0,1,1,4
9,AgentA wins,14.08,6,4,3,5,0,5,0,1,1,4
10,AgentA wins,14.12,6,4,3,5,0,5,0,1,1,4
11,AgentA wins,14.00,6,4,2,5,0,5,0,1,1,4
12,AgentA wins,13.62,6,4,3,5,0,5,0,1,1,4
13,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
14,AgentA wins,13.94,6,4,2,5,0,5,0,1,1,4
15,AgentA wins,16.74,7,5,3,5,0,6,0,1,1,5
16,AgentA wins,14.23,6,4,3,5,0,5,0,1,1,4
17,AgentA wins,13.97,6,4,3,5,0,5,0,1,0,4
18,AgentA wins,13.86,6,4,3,5,0,5,0,1,1,4
19,AgentA wins,14.24,6,4,3,5,0,5,0,1,1,4
20,AgentA wins,14.09,6,4,3,5,0,5,0,1,1,4
21,AgentA wins,16.53,7,5,3,5,0,6,0,1,1,5
22,AgentA wins,14.06,6,4,3,5,0,5,0,1,1,4
23,AgentA wins,16.67,7,5,3,5,0,6,0,1,1,5
24,AgentA wins,13.91,6,3,2,5,0,5,0,1,1,3
25,AgentA wins,14.00,6,4,2,5,0,5,0,1,1,4
26,AgentA wins,13.79,6,4,3,5,0,5,0,1,1,4
27,AgentA wins,14.29,6,4,3,5,0,5,0,1,1,4
28,AgentA wins,13.53,6,4,3,5,0,5,0,1,1,4
29,AgentA wins,16.65,7,5,3,5,0,6,0,1,1,4
30,AgentA wins,14.06,6,4,3,5,0,5,0,1,1,4
31,AgentA wins,13.89,6,4,3,5,0,5,0,1,1,4
32,AgentA wins,13.96,6,4,3,5,0,5,0,1,1,4
33,AgentA wins,14.15,6,4,2,5,0,5,0,1,1,4
34,AgentA wins,13.94,6,4,3,5,0,5,0,1,1,4
35,AgentA wins,14.39,6,4,3,5,0,5,0,1,1,3
36,AgentA wins,16.62,7,5,3,5,0,6,0,1,1,5
37,AgentA wins,14.04,6,4,3,5,0,5,0,1,1,4
38,AgentA wins,13.54,6,4,3,5,0,5,0,1,3,2
39,AgentA wins,16.60,7,5,3,5,0,6,0,1,1,5
40,AgentA wins,16.63,7,5,3,5,0,6,0,1,0,5
41,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
42,AgentA wins,14.03,6,4,3,5,0,5,0,1,0,4
43,AgentA wins,13.92,6,4,3,5,0,5,0,1,1,4
44,AgentA wins,13.54,6,4,3,5,0,5,0,1,1,4
45,AgentA wins,13.84,6,4,3,5,0,5,0,1,0,4
46,AgentA wins,14.01,6,4,3,5,0,5,0,1,1,4
47,AgentA wins,13.40,6,4,3,5,0,5,0,1,1,4
48,AgentA wins,13.43,6,4,3,5,0,5,0,1,1,4
49,AgentA wins,15.57,7,1,1,5,0,6,0,1,0,0
50,AgentA wins,16.42,7,4,3,5,0,6,0,1,2,4
51,AgentA wins,13.02,6,2,1,5,0,5,0,1,0,0
52,AgentA wins,13.95,6,4,3,5,0,5,0,1,1,4
53,AgentA wins,13.97,6,4,3,5,0,5,0,1,1,4
54,AgentA wins,14.21,6,4,3,5,0,5,0,1,1,4
55,AgentA wins,13.40,6,4,3,5,0,5,0,1,1,3
56,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
57,AgentA wins,14.02,6,3,3,5,0,5,0,1,1,3
58,AgentA wins,13.47,6,4,3,5,0,5,0,1,1,4
59,AgentA wins,14.11,6,3,2,5,0,5,0,1,1,3
60,AgentA wins,17.15,7,4,4,5,0,6,0,1,3,2
61,AgentA wins,14.12,6,4,3,5,0,5,0,1,1,4
62,AgentA wins,14.16,6,4,3,5,0,5,0,1,1,4
63,AgentA wins,14.23,6,3,3,5,0,5,0,1,3,1
64,AgentA wins,13.92,6,4,3,5,0,5,0,1,0,4
65,AgentA wins,15.59,7,3,1,5,0,6,0,1,0,0
66,AgentA wins,13.72,6,4,2,5,0,5,0,1,1,4
67,AgentA wins,14.15,6,4,3,5,0,5,0,1,0,4
68,AgentA wins,14.17,6,4,3,5,0,5,0,1,1,4
69,AgentA wins,14.45,6,4,3,5,0,5,0,1,1,4
70,AgentA wins,14.16,6,4,3,5,0,5,0,1,1,3
71,AgentA wins,14.14,6,4,3,5,0,5,0,1,1,4
72,AgentA wins,14.23,6,4,3,5,0,5,0,1,1,3
73,AgentA wins,14.06,6,4,3,5,0,5,0,1,1,4
74,AgentA wins,13.80,6,4,3,5,0,5,0,1,3,2
75,AgentA wins,13.88,6,4,2,5,0,5,0,1,1,4
76,AgentA wins,16.51,7,5,3,5,0,6,0,1,1,5
77,AgentA wins,14.12,6,4,3,5,0,5,0,1,1,4
78,AgentA wins,19.21,8,6,4,5,0,7,0,1,1,5
79,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
